Iteration,Best Fitness,Elitism Rate,Mutation Rate,Population Size,Crossover Type,Mutation Type,Duration (ms)
30, 12180.00, 0.30, 0.40, 100, crossover, inversionMutation, 910
30, 12210.00, 0.30, 0.80, 100, crossover, swapMutation, 336
30, 12210.00, 0.30, 0.40, 100, crossover, scrambleMutation, 1018
30, 12240.00, 0.30, 0.40, 100, singlePointCrossover, flipMutation, 965
30, 12200.00, 0.30, 0.80, 100, singlePointCrossover, swapMutation, 245
30, 12180.00, 0.30, 0.40, 100, singlePointCrossover, scrambleMutation, 973
30, 12230.00, 0.30, 0.40, 100, twoPointCrossover, inversionMutation, 829
30, 12250.00, 0.30, 0.40, 100, singlePointCrossover, inversionMutation, 1057
30, 12330.00, 0.30, 0.60, 100, crossover, scrambleMutation, 836
30, 12100.00, 0.30, 0.40, 100, twoPointCrossover, flipMutation, 1033
30, 12040.00, 0.30, 0.60, 100, crossover, flipMutation, 924
30, 12380.00, 0.30, 0.40, 100, twoPointCrossover, scrambleMutation, 1067
30, 12200.00, 0.30, 0.60, 100, singlePointCrossover, scrambleMutation, 775
30, 12270.00, 0.30, 0.80, 100, twoPointCrossover, swapMutation, 301
30, 12160.00, 0.30, 0.60, 100, twoPointCrossover, flipMutation, 787
30, 12380.00, 0.30, 0.60, 100, crossover, inversionMutation, 918
30, 12050.00, 0.30, 0.60, 100, singlePointCrossover, flipMutation, 903
30, 12080.00, 0.40, 0.20, 100, crossover, swapMutation, 288
30, 12270.00, 0.30, 0.60, 100, singlePointCrossover, inversionMutation, 880
30, 12180.00, 0.40, 0.20, 100, singlePointCrossover, swapMutation, 320
30, 12390.00, 0.30, 0.60, 100, twoPointCrossover, scrambleMutation, 971
30, 12190.00, 0.30, 0.80, 100, singlePointCrossover, scrambleMutation, 727
30, 12050.00, 0.30, 0.60, 100, twoPointCrossover, inversionMutation, 1024
30, 12230.00, 0.30, 0.80, 100, crossover, flipMutation, 991
30, 12270.00, 0.40, 0.20, 100, twoPointCrossover, swapMutation, 336
30, 12400.00, 0.30, 0.80, 100, crossover, scrambleMutation, 975
30, 12140.00, 0.40, 0.40, 100, crossover, swapMutation, 252
30, 12350.00, 0.30, 0.80, 100, crossover, inversionMutation, 989
30, 12200.00, 0.30, 0.80, 100, singlePointCrossover, flipMutation, 1090
30, 12380.00, 0.30, 0.80, 100, singlePointCrossover, inversionMutation, 940
30, 12160.00, 0.30, 0.80, 100, twoPointCrossover, flipMutation, 922
30, 12265.00, 0.30, 0.80, 100, twoPointCrossover, inversionMutation, 904
30, 12270.00, 0.30, 0.80, 100, twoPointCrossover, scrambleMutation, 925
30, 12350.00, 0.40, 0.40, 100, singlePointCrossover, swapMutation, 338
30, 12145.00, 0.40, 0.40, 100, twoPointCrossover, swapMutation, 360
30, 12000.00, 0.40, 0.60, 100, crossover, swapMutation, 246
30, 12230.00, 0.40, 0.20, 100, crossover, inversionMutation, 1025
30, 12020.00, 0.40, 0.20, 100, singlePointCrossover, scrambleMutation, 947
30, 12250.00, 0.40, 0.20, 100, twoPointCrossover, scrambleMutation, 886
30, 12240.00, 0.40, 0.20, 100, twoPointCrossover, inversionMutation, 888
30, 12300.00, 0.40, 0.20, 100, crossover, flipMutation, 1175
30, 12260.00, 0.40, 0.20, 100, singlePointCrossover, flipMutation, 1090
30, 12050.00, 0.40, 0.60, 100, singlePointCrossover, swapMutation, 290
30, 12360.00, 0.40, 0.20, 100, singlePointCrossover, inversionMutation, 1042
30, 12260.00, 0.40, 0.20, 100, crossover, scrambleMutation, 1152
30, 12110.00, 0.40, 0.60, 100, twoPointCrossover, swapMutation, 326
30, 12320.00, 0.40, 0.20, 100, twoPointCrossover, flipMutation, 1320
30, 12220.00, 0.40, 0.40, 100, crossover, flipMutation, 1274
30, 12180.00, 0.40, 0.40, 100, crossover, scrambleMutation, 1145
