Iteration,Best Fitness,Elitism Rate,Mutation Rate,Population Size,Crossover Type,Mutation Type,Duration (ms),Opti Find At
100, 12400.00, 0.40, 0.20, 700, uniformCrossover, scrambleMutation, 155627, 53
100, 12400.00, 0.40, 0.20, 700, uniformCrossover, flipMutation, 159232, 84
100, 12380.00, 0.40, 0.20, 700, twoPointCrossover, inversionMutation, 152293, 0
100, 12400.00, 0.50, 0.10, 700, singlePointCrossover, swapMutation, 5365, 68
100, 12400.00, 0.40, 0.20, 700, uniformCrossover, inversionMutation, 160048, 71
100, 12380.00, 0.40, 0.20, 700, twoPointCrossover, scrambleMutation, 154469, 0
100, 12330.00, 0.50, 0.10, 700, twoPointCrossover, swapMutation, 5567, 0
100, 12400.00, 0.40, 0.20, 700, twoPointCrossover, flipMutation, 162637, 52
100, 12400.00, 0.40, 0.20, 700, singlePointCrossover, scrambleMutation, 164634, 17
100, 12400.00, 0.40, 0.30, 700, uniformCrossover, flipMutation, 161909, 69
100, 12400.00, 0.40, 0.20, 700, singlePointCrossover, inversionMutation, 165417, 29
100, 12400.00, 0.40, 0.30, 700, uniformCrossover, scrambleMutation, 161832, 61
100, 12400.00, 0.40, 0.20, 700, singlePointCrossover, flipMutation, 170258, 31
100, 12290.00, 0.50, 0.20, 700, uniformCrossover, swapMutation, 5454, 0
100, 12400.00, 0.40, 0.30, 700, singlePointCrossover, flipMutation, 163266, 36
100, 12400.00, 0.40, 0.30, 700, uniformCrossover, inversionMutation, 163792, 50
100, 12400.00, 0.50, 0.20, 700, singlePointCrossover, swapMutation, 3485, 12
100, 12400.00, 0.40, 0.30, 700, singlePointCrossover, inversionMutation, 162680, 64
100, 12400.00, 0.40, 0.30, 700, twoPointCrossover, flipMutation, 161591, 84
100, 12260.00, 0.50, 0.20, 700, twoPointCrossover, swapMutation, 4827, 0
100, 12400.00, 0.40, 0.30, 700, singlePointCrossover, scrambleMutation, 168695, 27
100, 12265.00, 0.50, 0.30, 700, uniformCrossover, swapMutation, 6557, 0
100, 12370.00, 0.40, 0.40, 700, uniformCrossover, flipMutation, 162302, 0
100, 12400.00, 0.40, 0.40, 700, uniformCrossover, scrambleMutation, 156877, 72
100, 12400.00, 0.40, 0.30, 700, twoPointCrossover, scrambleMutation, 168586, 36
100, 12390.00, 0.40, 0.30, 700, twoPointCrossover, inversionMutation, 168300, 0
100, 12320.00, 0.50, 0.30, 700, singlePointCrossover, swapMutation, 6247, 0
100, 12400.00, 0.40, 0.40, 700, uniformCrossover, inversionMutation, 164437, 51
100, 12400.00, 0.40, 0.40, 700, singlePointCrossover, flipMutation, 172522, 51
100, 12370.00, 0.40, 0.40, 700, twoPointCrossover, flipMutation, 164457, 0
100, 12180.00, 0.50, 0.30, 700, twoPointCrossover, swapMutation, 5652, 0
100, 12400.00, 0.40, 0.40, 700, singlePointCrossover, scrambleMutation, 172635, 44
100, 12400.00, 0.40, 0.40, 700, singlePointCrossover, inversionMutation, 172949, 40
100, 12320.00, 0.50, 0.40, 700, uniformCrossover, swapMutation, 5537, 0
100, 12400.00, 0.40, 0.40, 700, twoPointCrossover, scrambleMutation, 170341, 99
100, 12400.00, 0.40, 0.50, 700, uniformCrossover, inversionMutation, 154312, 76
100, 12400.00, 0.40, 0.50, 700, uniformCrossover, flipMutation, 163677, 23
100, 12280.00, 0.50, 0.40, 700, singlePointCrossover, swapMutation, 5085, 0
100, 12400.00, 0.40, 0.50, 700, uniformCrossover, scrambleMutation, 170983, 35
100, 12400.00, 0.40, 0.40, 700, twoPointCrossover, inversionMutation, 176865, 77
100, 12400.00, 0.40, 0.50, 700, singlePointCrossover, flipMutation, 167994, 31
100, 12250.00, 0.50, 0.40, 700, twoPointCrossover, swapMutation, 6566, 0
100, 12400.00, 0.40, 0.50, 700, twoPointCrossover, flipMutation, 164990, 69
100, 12400.00, 0.40, 0.50, 700, singlePointCrossover, inversionMutation, 170067, 75
100, 12400.00, 0.40, 0.50, 700, twoPointCrossover, inversionMutation, 171090, 72
100, 12400.00, 0.40, 0.50, 700, twoPointCrossover, scrambleMutation, 172125, 65
100, 12400.00, 0.40, 0.50, 700, singlePointCrossover, scrambleMutation, 174110, 45
100, 12240.00, 0.50, 0.50, 700, uniformCrossover, swapMutation, 4983, 0
100, 12400.00, 0.50, 0.10, 700, uniformCrossover, scrambleMutation, 201968, 30
100, 12400.00, 0.50, 0.10, 700, uniformCrossover, flipMutation, 208577, 67
100, 12310.00, 0.50, 0.50, 700, singlePointCrossover, swapMutation, 5284, 0
100, 12400.00, 0.50, 0.10, 700, uniformCrossover, inversionMutation, 208084, 55
100, 12400.00, 0.50, 0.10, 700, singlePointCrossover, flipMutation, 209018, 55
100, 12320.00, 0.50, 0.50, 700, twoPointCrossover, swapMutation, 6352, 0
100, 12380.00, 0.50, 0.10, 700, twoPointCrossover, flipMutation, 210151, 0
100, 12400.00, 0.50, 0.10, 700, twoPointCrossover, scrambleMutation, 211451, 75
100, 12400.00, 0.50, 0.10, 700, twoPointCrossover, inversionMutation, 208668, 65
100, 12400.00, 0.50, 0.10, 700, singlePointCrossover, inversionMutation, 218755, 31
100, 12400.00, 0.50, 0.10, 700, singlePointCrossover, scrambleMutation, 222647, 20
